company,career_site,ats
Amazon Freight,,
BlueCargo,,
Cargobot,https://www.cargobot.io/en-us/careers-cargobot,
Carrier Assure,,
COOP by Ryder,https://jobs.coop.com/,
Emerge,https://gusea1p01.rec.pro.ukg.net/EME1011EMERG/JobBoard/627f58f4-f97b-43fb-a8e6-2cda3abd7516/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,
Freightvana,https://freightvana.io/jobs,
Gnosis Freight,https://www.gnosisfreight.com/careers#join-our-team,
GoFreight,,
GoodShip,,
Greenscreens.ai,,
Highway,,
LoadSure,https://www.loadsure.net/company/careers/,
Newtrul,https://www.newtrul.com/careers,
PowerFleet,https://www.powerfleet.com/about/careers/,
Revenova,,
Schneider,https://schneiderjobs.com/search-office-jobs,
Shuddl,,
Tai,,
PayCargo,https://paycargo.applicantpool.com/jobs/,ApplicantPool
CloudTrucks,https://jobs.ashbyhq.com/cloudtrucks/,Ashby
EXO Freight,https://jobs.ashbyhq.com/exofreight/,Ashby
Rose Rocket,https://jobs.ashbyhq.com/rose%20rocket,Ashby
TruckSmarter,https://jobs.ashbyhq.com/trucksmarter/,Ashby
Cargobase,https://cargobase.bamboohr.com/careers,BambooHR
McLeod,https://mcleod-software.breezy.hr/,BreezyHR
Drivewyze,https://secure.collage.co/jobs/iisdrivewyze,Collage
FreightOS,https://www.freightos.com/careers/#open-positions,Comeet
WWEX,https://us231.dayforcehcm.com/CandidatePortal/en-US/wwex,Dayforce
Cargologik,https://www.cargologik.com/careers,Email
FleetOps,https://www.fleetops.ai/careers,Email
Loadsmith,,Email
Navix,https://www.navix.io/careers/,Email
Convoy,https://boards.greenhouse.io/convoy,Greenhouse
DAT,https://careers.dat.com/jobs/,Greenhouse
Demin,https://www.denim.com/careers#careers,Greenhouse
Flexport,https://boards.greenhouse.io/flexport,Greenhouse
Flock Freight,https://www.flockfreight.com/about-us/jobs/,Greenhouse
FourKites,https://boards.greenhouse.io/fourkites,Greenhouse
Gatik,https://boards.greenhouse.io/gatikaiinc#new_tab,Greenhouse
Motive,https://boards.greenhouse.io/gomotive,Greenhouse
Mudflap,https://www.mudflapinc.com/careers#open-positions,Greenhouse
MyCarrier,https://boards.greenhouse.io/mycarrier,Greenhouse
Narvar,https://boards.greenhouse.io/narvar,Greenhouse
Nuvocargo,https://boards.greenhouse.io/nuvocargo,Greenhouse
OnFleet,https://onfleet.com/careers,Greenhouse
Outgo,https://boards.greenhouse.io/outgo/,Greenhouse
Overhaul,https://over-haul.com/about/careers/,Greenhouse
Parade.ai,https://boards.greenhouse.io/paradeai,Greenhouse
Platform Science,https://boards.greenhouse.io/platformscience,Greenhouse
Project 44,https://boards.greenhouse.io/project44,Greenhouse
Relay Payments,https://boards.greenhouse.io/relaypayments/,Greenhouse
Roadie,https://boards.greenhouse.io/roadie,Greenhouse
Samsara,https://www.samsara.com/company/careers/roles/,Greenhouse
Shipwell,https://shipwell.com/careers/#grnhse_app,Greenhouse
Transfix,https://transfix.io/company/careers/#job_list,Greenhouse
Trinity Logistics,https://trinitylogistics.com/join-us/become-a-team-member/#job-openings,Greenhouse
TrueNorth,https://www.gettruenorth.com/careers,Greenhouse
Zipline,https://www.flyzipline.com/careers,Greenhouse
Ryder,https://jobs.ryder.com/jobs/,ICIMS
123Loadboard,http://jobs.123loadboard.com/,JazzHR
Cargomatic,https://cargomaticinc.applytojob.com/apply,JazzHR
Freightwaves,https://freightwavesinc.applytojob.com/apply,JazzHR
OneRail,https://onerail.applytojob.com/apply,JazzHR
uShip,https://uship.applytojob.com/apply,JazzHR
Zuum,https://zuumapp.com/careers/#,JazzHR
MercuryGate,https://mercurygate.com/careers/?p=jobs,Jobvite
Arrive Logistics,https://jobs.lever.co/arrivelogistics/,Lever
AtoB,https://jobs.lever.co/atob,Lever
EasyPost,https://jobs.lever.co/easypost-2/,Lever
Haul,https://jobs.lever.co/haul,Lever
Kodiak Robotics,https://jobs.lever.co/kodiak/,Lever
Leaf Logistics,https://jobs.lever.co/leaflogistics,Lever
Loadsmart,https://jobs.lever.co/loadsmart/,Lever
Loop Returns,https://jobs.lever.co/loopreturns,Lever
Mothership,https://jobs.lever.co/mothership-2,Lever
SmartHop,https://jobs.lever.co/smarthop,Lever
Tive,https://jobs.lever.co/Tive,Lever
Turvo,https://jobs.lever.co/turvo/,Lever
